	SS CTX	MC	MPO	PFC	ARC	DG	CA3	CA1	VMH	TU	SCN	SO	PVN	Pir	NuAc shell	meAMYG	LH	DMH	NuAc core	RS	AHC	CS
SCN	0.104678046210001	0.256536693429191	0.244397589390424	0.189357076599354	0.421431380622276	0.570314632291752	0.227512105683744	0.308355991324336	0.901060695003152	0.456012969725388		0.886827952915033	0.302137294342893	0.992724589767563	0.894650088484824	0.301592173089905	0.330601105434636	0.488195196883843	0.376761705067803	0.0850328405878231	0.132954857246979	0.497533838015138
SO	0.631443986386053	0.150152602532296	0.163112207093882	0.182289438129573	0.182207689561424	0.568296275373546	0.0856520775282943	0.605972773585505	0.324189093359337	0.876743034367463	0.886827952915033		0.550697968272219	0.00318584520964248	0.302421951434304	0.941299112087604	0.575580963856139	0.511316456634472	0.658760401350545	0.295430995269025	0.254687532776691	0.710065886773784
PVN	0.334092818823668	0.786836976584339	0.593394615427295	0.585718221956569	0.28886128726838	0.101375072981421	0.321425444744669	0.209649324849939	0.253480251303931	0.16563986268823	0.302137294342893	0.550697968272219		0.579447265202417	0.594995760678418	0.744976386230985	0.513673590263179	0.0630696450761278	0.150606195312356	0.484319254255433	0.51652010632952	0.235873555790069
Pir	0.394774978157624	0.0425670994780792	0.0153947354493462	0.0477583216807453	0.57701533931738	0.629123928311407	0.331098567306748	0.123392317736669	0.0988017954182498	0.539018938744904	0.992724589767563	0.00318584520964248	0.579447265202417		0.106078396617176	0.862533173726668	0.342326938854942	0.0632854919767985	0.186297679421755	0.428078689264114	0.290635890541973	0.508816738428173
NuAc shell	0.611357384171784	0.720014367699573	0.0324683105205526	0.496146672918305	0.698865785335198	0.414345673627826	0.541460899426627	0.223012080860218	0.323439591219928	0.605379086588294	0.894650088484824	0.302421951434304	0.594995760678418	0.106078396617176		0.656785801893772	0.76924441926912	0.25761486821566	0.62432043233195	0.118219401882259	0.970170258894345	0.474813702672271
meAMYG	0.0818454125031584	0.138986734256959	0.110163561307412	0.0704793989557588	0.37038269948322	0.387133394581716	0.673764994185044	0.265431745795088	0.101309509414386	0.32218656514644	0.301592173089905	0.941299112087604	0.744976386230985	0.862533173726668	0.656785801893772		0.903022205677728	0.207596853402978	0.511738938722675	0.514354836738085	0.576366035680167	0.187576664132336
LH	0.783371633153589	0.678262405862202	0.862173094609567	0.0614929339810665	0.126312095483733	0.309910559084259	0.33069630117456	0.982582241044707	0.321817207042018	0.301765445603012	0.330601105434636	0.575580963856139	0.513673590263179	0.342326938854942	0.76924441926912	0.903022205677728		0.420559023475225	0.385678645132386	0.277302229878355	0.0119049342825158	0.457428429282876
DMH	0.650846230480359	0.0729014966176193	0.306833869695312	0.0686221974153384	0.401033062606063	0.784670973848005	0.259950848935396	0.00527372806994325	1.32149216886447e-005	0.0454139730808182	0.488195196883843	0.511316456634472	0.0630696450761278	0.0632854919767985	0.25761486821566	0.207596853402978	0.420559023475225		0.00177622687883539	0.345939782072233	0.609201485702059	0.127544863243051
NuAc core	0.552876997517135	0.587654596627716	0.387629107532523	0.301534784553243	0.734718792800635	0.8720113696677	0.331381657302206	1.97191239970027e-004	0.0087009558692551	0.0178710146504759	0.376761705067803	0.658760401350545	0.150606195312356	0.186297679421755	0.62432043233195	0.511738938722675	0.385678645132386	0.00177622687883539		0.235619140867096	0.683854039876244	0.575439551477428
RS	0.639644276608613	0.551842242782454	0.412996757698425	0.829589210964595	0.237728085638573	0.883802346373379	0.760425113523399	0.025822341608086	0.606941677882932	0.212039917486655	0.0850328405878231	0.295430995269025	0.484319254255433	0.428078689264114	0.118219401882259	0.514354836738085	0.277302229878355	0.345939782072233	0.235619140867096		0.449214623250588	0.390069922552746
AHC	0.160070794119254	0.139877858991349	0.74038572207727	0.0216950066219085	0.838850098433223	0.225573257766632	0.191552896722882	0.473983679427895	0.472136324978185	0.261066533142284	0.132954857246979	0.254687532776691	0.51652010632952	0.290635890541973	0.970170258894345	0.576366035680167	0.0119049342825158	0.609201485702059	0.683854039876244	0.449214623250588		0.552596901559706
CS	0.422011513989073	0.301450715706219	0.945649863626563	0.891890296311373	0.0918206906493537	0.73483986453933	0.855127033352716	0.332428964994656	0.0928903006010467	0.629305667978858	0.497533838015138	0.710065886773784	0.235873555790069	0.508816738428173	0.474813702672271	0.187576664132336	0.457428429282876	0.127544863243051	0.575439551477428	0.390069922552746	0.552596901559706	
