,source,target,normalized_projection_density_source_average
83,CA1,VMH,0.008666544926085889
84,CA3,ACB,0.0032478213948318514
85,CA3,AHN,0.0017861453561919735
86,CA3,ARH,0.0006249031953079925
87,CA3,CA1,0.08922780835804657
88,CA3,DG,0.05337094817185759
89,CA3,DMH,0.001120354460111916
90,CA3,ILA,0.001724061493141065
91,CA3,LHA,0.0008934391968158159
92,CA3,MEA,0.0036025409078293334
93,CA3,MO,0.0006101444223906182
94,CA3,MPO,0.001260270495637953
95,CA3,ORB,0.000648690018538536
96,CA3,OT,0.0011432047921034188
97,CA3,PIR,0.0006071706813648152
98,CA3,PL,0.001338480374926189
99,CA3,PVH,0.0006321901118797049
100,CA3,SCH,0.0017714296644623527
101,CA3,SO,0.0024553854780201443
102,CA3,SS,0.0023971439883121596
103,CA3,STRd,0.0017810036391169653
104,CA3,VMH,0.0011894654950128916
105,DG,ACB,0.007868954179335867
106,DG,AHN,0.0030486214313194355
107,DG,ARH,0.0008620720045788857
108,DG,CA1,0.02376259397540858
109,DG,CA3,0.031871426549573756
110,DG,DMH,0.0018523002583526159
111,DG,ILA,0.004179511035332072
112,DG,LHA,0.0027047130845944747
113,DG,MEA,0.0024715438000811004
114,DG,MO,0.0014969197765276189
115,DG,MPO,0.0018016456027273036
116,DG,ORB,0.001721741098398199
117,DG,OT,0.0013757475479619528
118,DG,PIR,0.0005084443583754123
119,DG,PL,0.0033994169688348016
120,DG,PVH,0.0008335390128555767
121,DG,SCH,0.0004721120829105914
122,DG,SO,0.0033216363372890025
123,DG,SS,0.0017296381913765725
124,DG,STRd,0.0036985885873655235
125,DG,VMH,0.0016912650439828024
126,DMH,ACB,0.00013213041127340904
127,DMH,AHN,0.004462345858300492
128,DMH,ARH,0.007714460354295503
129,DMH,CA1,3.676722135717592e-05
130,DMH,CA3,2.933649941012883e-05
131,DMH,DG,5.836842827468179e-05
132,DMH,ILA,0.00019859361144746718
133,DMH,LHA,0.0020008825112544214
134,DMH,MEA,0.0006300148664668442
135,DMH,MO,5.7287256482843335e-05
136,DMH,MPO,0.0035057102286057385
137,DMH,ORB,0.00011014294825498216
138,DMH,OT,7.66044192524052e-05
139,DMH,PIR,5.134913441308362e-05
140,DMH,PL,0.00014971401842750535
141,DMH,PVH,0.005829531626935275
142,DMH,SCH,0.002879715374034551
143,DMH,SO,0.0029470898502250223
144,DMH,SS,3.419652284012212e-05
145,DMH,STRd,6.073260626792275e-05
146,DMH,VMH,0.004262838358293194
147,ILA,ACB,0.006326936998467332
148,ILA,AHN,0.0012165972285592254
149,ILA,ARH,0.0002454858573991451
150,ILA,CA1,1.3097740009186151e-05
151,ILA,CA3,8.962992068548835e-06
152,ILA,DG,4.689482678817821e-05
