	SS CTX	MC	MPO	PFC	ARC	DG	CA3	CA1	VMH	TU	SCN	SO	PVN	Pir	NuAc shell	meAMYG	LH	DMH	NuAc core	RS	AHC	CS
SCN	0.491433696493263	0.35566536417787	0.364258609509791	0.406830580761288	-0.256251548865696	-0.182463035953166	0.37664203755328	0.32139782627875	-0.0402909899957508	0.238166466705458	1	0.04611790325452	0.325328443996331	-2.95639162634232e-003	0.0429140533738741	-0.325675139379231	0.307685142153795	-0.22191128541631	0.280738687311624	0.517250726991269	0.459423077314258	0.21728698577343
SO	0.154582913080155	0.442088901534591	-0.429851469085381	0.412822849648783	0.412892997243836	0.183402815888487	0.516378617411394	-0.166069812842333	0.311584366164755	0.0502542076836283	0.04611790325452	1	0.191655018170007	-0.773156334063879	0.325147541971803	-0.0238711867205231	0.180017188586548	0.210532367811067	-0.142446589545944	-0.329618292456184	0.356958767941742	-0.120094152374392
PVN	0.305579085414202	-0.0875059007101476	0.171808620083311	0.175333940988257	-0.333874224707835	0.495532188638625	0.313277968842817	0.390357098091917	-0.357806168498361	0.427537349997093	0.325328443996331	0.191655018170007	1	0.178227216762223	-0.171075533220194	-0.105164033991903	0.209385264624328	-0.551477318040048	0.441649442838207	0.223842305635339	0.208003067162255	0.370444100065572
Pir	-0.27069600166952	-0.591997551585322	0.677952121005764	-0.580624959631942	-0.179352565542534	0.155622115671267	-0.307384358433999	0.469698256790458	-0.498787492810001	0.197191693838225	-2.95639162634232e-003	-0.773156334063879	0.178227216762223	1	-0.489722082721763	-0.056094208707529	-0.300659284417062	-0.551103713934142	0.409407137905752	0.252720854790914	-0.332719274723248	0.211751399360934
NuAc shell	0.163626857557772	0.115818533930368	-0.617312555373871	0.217971396585065	-0.124929142900059	-0.260045470513559	-0.196029917274464	-0.380034181594439	0.312042887424931	-0.166339661376752	0.0429140533738741	0.325147541971803	-0.171075533220194	-0.489722082721763	1	-0.143317975663568	-0.09489762612881	0.354913738853208	-0.157778102733365	-0.475475260375645	-0.0121236672785681	-0.228608149727023
meAMYG	-0.521809339251444	-0.453186919978726	-0.48481316724202	-0.539126137982413	-0.284354333131987	-0.274926970706304	0.135853398025164	0.349518280883045	-0.495614439213469	0.312810749921595	-0.325675139379231	-0.0238711867205231	-0.105164033991903	-0.056094208707529	-0.143317975663568	1	0.039488838140397	-0.391977666284578	0.210326595917453	0.209054164392271	-0.179653341448217	0.408326839083597
LH	0.0889587572729702	0.133886632344453	-0.0562423876877123	0.554233660397183	-0.466507370968585	-0.320422147518585	0.30762756428681	-0.00707816533199263	0.313037407206836	0.325564900650326	0.307685142153795	0.180017188586548	0.209385264624328	-0.300659284417062	-0.09489762612881	0.039488838140397	1	0.256716925805625	-0.275737256870372	0.341497673061975	0.69619053055785	0.237440490664575
DMH	0.145944488278819	0.535283718431725	-0.322355793166582	0.542134377975625	0.267261967234341	-0.0884138283399201	-0.353291524118679	-0.746648677191612	0.928305531734229	-0.585646756439264	-0.22191128541631	0.210532367811067	-0.551477318040048	-0.551103713934142	0.354913738853208	-0.391977666284578	0.256716925805625	1	-0.800135962370529	-0.298520760762944	0.164604001224539	-0.465174614525768
NuAc core	0.190627430773675	-0.174442994310377	0.274651218482115	-0.325711658687862	-0.10953001551851	-0.0521972327007231	0.307213301468186	0.874591163258585	-0.716855243839087	0.666790908844538	0.280738687311624	-0.142446589545944	0.441649442838207	0.409407137905752	-0.157778102733365	0.210326595917453	-0.275737256870372	-0.800135962370529	1	0.370630737491251	0.131447213202229	0.180082748097587
RS	0.150920692591709	0.191115191842925	0.260771361369142	0.0696957152945089	-0.369087224840673	-0.0473581583056037	0.0986187664867759	0.637256925024842	-0.165629630281882	0.388481674010351	0.517250726991269	-0.329618292456184	0.223842305635339	0.252720854790914	-0.475475260375645	0.209054164392271	0.341497673061975	-0.298520760762944	0.370630737491251	1	0.241668253392505	0.27329608175189
AHC	0.4326662393065	0.452280563491928	0.107115931673511	0.651599749680508	-0.0658625891896731	-0.378098572739728	0.404997154063979	0.22902637596522	0.229958424728058	0.352519732226765	0.459423077314258	0.356958767941742	0.208003067162255	-0.332719274723248	-0.0121236672785681	-0.179653341448217	0.69619053055785	0.164604001224539	0.131447213202229	0.241668253392505	1	0.190759424765694
CS	-0.255942327668953	-0.325765163084464	0.0220995193319146	-0.0440440134326748	-0.5079153319375	-0.109478385902908	-0.0591439966074926	0.306581155396417	-0.506487223728526	0.155540661035905	0.21728698577343	-0.120094152374392	0.370444100065572	0.211751399360934	-0.228608149727023	0.408326839083597	0.237440490664575	-0.465174614525768	0.180082748097587	0.27329608175189	0.190759424765694	1
