	AHC	ARC	CS	DMH	CA1	CA3	DG	LH	meAMYG	MC	NuAc core	NuAc shell	Pir	PFC	PVN	SO	SS CTX	RS	SCN	TU	VMH	MPO
NuAc core	0.739320159434179	0.832896557092028	0.426697151355545	0.283966109081903	0.55241550351858	0.186233933222667	0.87912195838939	0.727186620834484	0.384545078123648	0.0783433266822033		0.110027647180771	0.83890595909699	0.961689359678738	0.513213083450004	0.881078928240148	0.893996572739149	0.626154078631722	0.973896323287951	0.212476161173412	0.955190599953967	0.227525856695719
NuAc shell	0.360455010669123	0.919839994499924	0.945038460471742	0.90570569304911	0.543722539688198	0.858544597350093	0.80040826414796	0.116158212180131	0.459152093813457	0.572615102364011	0.110027647180771		0.494871206964949	0.354536335340109	0.187934970981174	0.602400692227736	0.774400045312486	0.209110915644704	0.0709137641887806	0.307449844053458	0.72573020109029	0.269517239828205
Pir	0.644621526536698	0.844337405123083	0.0951782916657196	0.101555770808784	0.968693940861629	0.492556788609783	0.194495398439968	0.982169257472587	0.0334762182611613	0.969064536769295	0.83890595909699	0.494871206964949		0.985045505700828	0.48896766476884	0.681464371620045	0.938239520026221	0.120411383909528	0.388690302074763	0.949707563448025	0.397959474172993	0.636877517696228
PFC	0.01999400648473	0.86309547573272	0.154815003127718	0.798067902508332	0.792662224768533	0.907974138457366	0.0069384961109809	0.125491287502188	0.0729887319768233	0.52997917968405	0.961689359678738	0.354536335340109	0.985045505700828		0.997641866682768	0.856145874710987	0.00170441979937728	0.737617372917659	0.983902268308802	0.575239186403887	0.914667338144623	0.954885049263273
PVN	0.885492570620802	0.0252312443185644	0.245954502255129	0.217870330279909	0.950020870187878	0.842323710689698	0.969912298040182	0.396683004123686	0.997461094633696	0.790907573112007	0.513213083450004	0.187934970981174	0.48896766476884	0.997641866682768		0.926973218474825	0.99242539572307	0.967441706461923	0.0320068062638534	0.702774389009291	0.0461678875519044	0.895644756604964
SO	0.264299069471002	0.518424020699559	0.500261257139346	0.280804472449188	0.271557054778826	0.520191183915391	0.731210542714355	0.407436023608046	0.591033796665297	0.887889888989885	0.881078928240148	0.602400692227736	0.681464371620045	0.856145874710987	0.926973218474825		0.270170792582042	0.431972329064299	0.979795198271474	0.334699652242573	0.263806296708426	0.118427670054898
SS CTX	0.313637433125496	0.941556681443602	0.219023933738754	0.37118229043067	0.779840296626184	0.345404907866867	0.00754378464780363	0.483418128714142	0.103068704201229	0.290437516175593	0.893996572739149	0.774400045312486	0.938239520026221	0.00170441979937728	0.99242539572307	0.270170792582042		0.330944644848182	0.579151133875274	0.674517364759366	0.317429381847927	0.836608535246656
RS	0.122915588426349	0.79373134717283	0.43064684380533	0.00234624579700495	0.955505340900245	0.225471097432388	0.629359210823643	0.166905363616446	0.181020617096418	0.978131733115405	0.626154078631722	0.209110915644704	0.120411383909528	0.737617372917659	0.967441706461923	0.431972329064299	0.330944644848182		0.624695939478309	0.90698388514694	0.0527810657713571	0.227160382719831
SCN	0.770841151070718	0.171864414290939	0.692029604371188	0.908834773603212	0.270580997287746	0.110127597436917	0.47146701977143	0.560640723707309	0.778232950715935	0.934720291542972	0.973896323287951	0.0709137641887806	0.388690302074763	0.983902268308802	0.0320068062638534	0.979795198271474	0.579151133875274	0.624695939478309		0.351699417415978	0.911561576056876	0.11607476455166
TU	0.749678674584091	0.674351533502048	0.502494902348801	0.454570308967566	0.000999405814543376	0.354110644948354	0.823261876561026	0.30015072003588	0.430008403690869	0.784794153191521	0.212476161173412	0.307449844053458	0.949707563448025	0.575239186403887	0.702774389009291	0.334699652242573	0.674517364759366	0.90698388514694	0.351699417415978		0.537004352325848	0.353684135455365
VMH	0.540486730591589	0.145125113901835	0.33416460064887	0.00210396068315305	0.783187737763548	0.96689218269027	0.581276532114069	0.760521967276572	0.371275032764147	0.589527411207319	0.955190599953967	0.72573020109029	0.397959474172993	0.914667338144623	0.0461678875519044	0.263806296708426	0.317429381847927	0.0527810657713571	0.911561576056876	0.537004352325848		0.804918387687676
MPO	0.494480836451338	0.492179599753348	0.22179447599719	0.597619809498512	0.497006674162793	0.0388132235402595	0.767124139353027	0.527400103318786	0.376318448697023	0.893295597851985	0.227525856695719	0.269517239828205	0.636877517696228	0.954885049263273	0.895644756604964	0.118427670054898	0.836608535246656	0.227160382719831	0.11607476455166	0.353684135455365	0.804918387687676	
