	AHC	ARC	CS	DMH	CA1	CA3	DG	LH	meAMYG	MC	NuAc core	NuAc shell	Pir	PFC	PVN	SO	SS CTX	RS	SCN	TU	VMH	MPO
NuAc core	0.10756946708144	-0.0683258672824923	0.253452426600214	-0.337081110392859	0.190844922519418	-0.40946110153862	-0.0492778974096033	0.112746724924635	-0.276369734569871	0.526959456221237	1	0.484974527072808	-0.0658394922246694	-0.0155725323874294	0.209609189520983	-0.0484750397258801	-0.043181586558059	-0.15695438880315	0.0106088001332418	0.388140827206294	-0.0182163214743881	-0.376631733880307
NuAc shell	0.290046735873971	-0.0326191865693009	0.0223484539603297	-0.0383917656918392	0.194955889412943	0.0577361368667437	-0.0818301530709167	0.477823465506834	-0.236557869023663	0.181393522815543	0.484974527072808	1	-0.218601453950785	0.293479778786652	0.408025013289487	-0.167694940474225	-0.0927272367469251	0.390781271897279	0.538430455322726	0.321967804112587	0.113369790940112	0.346734926718747
Pir	0.148705951495092	0.0635950587134999	0.503469123376099	0.495305684030203	-0.0127239385352695	0.219746601923171	-0.402560512497165	0.0072460153175102	0.614552030629808	-0.0125732507720088	-0.0658394922246694	-0.218601453950785	1	0.00607704611760305	-0.221527269642291	-0.13248894919353	-0.025117438338618	0.47300742894554	-0.274061510073871	-0.0204476865082339	0.268945137039847	0.15215444499999
PFC	0.658093364889918	-0.0558628311592966	-0.437611547032968	0.0828073776072402	-0.0850669840267287	-0.0374646611963849	-0.730785306726113	0.467399473869511	-0.535146974635492	-0.20151190619412	-0.0155725323874294	0.293479778786652	0.00607704611760305	1	9.58226774976144e-004	-0.05872418917502	-0.801905037993846	0.10829459634911	0.00654167373714573	0.180175649342683	-0.0347306558278874	-0.0183406478236663
PVN	-0.0466652314441591	0.639203750666287	-0.363142667528939	-0.383960815354399	0.020320162747796	0.0644268715634393	-0.0122285516531152	0.269646095228655	1.03168364466935e-003	-0.0858011876688642	0.209609189520983	0.408025013289487	-0.221527269642291	9.58226774976144e-004	1	0.0297093105776691	-3.07797331661671e-003	-0.0132331260218634	0.61859710134107	0.123239182217552	-0.584012259394135	0.0425069080357535
SO	0.350294325933363	-0.207080426194923	-0.215943793685241	0.339169064743014	-0.345354351809659	-0.206225371766031	0.111027099713735	0.263776311431007	0.172890916036777	0.045682730564539	-0.0484750397258801	-0.167694940474225	-0.13248894919353	-0.05872418917502	0.0297093105776691	1	0.346291940055855	0.250665224123983	0.00821094320658979	-0.305214288221679	0.350632546785449	-0.475239495500202
SS CTX	-0.31809408081353	0.0237662857645013	0.383075016790405	0.283899354195999	-0.0904408411743439	0.298836607264913	0.725729936614709	-0.224292258807717	0.493419699721812	0.332848182680325	-0.043181586558059	-0.0927272367469251	-0.025117438338618	-0.801905037993846	-3.07797331661671e-003	0.346291940055855	1	0.307477399346179	0.178364148572656	-0.13552408169398	0.315741008315221	0.0667896527178135
RS	0.470223931250448	-0.084619809553329	0.251363989614359	0.787746900328099	-0.0180882580328754	0.378175527121932	-0.155516665065711	0.426387135271349	0.413913828441127	-0.00888708870005316	-0.15695438880315	0.390781271897279	0.47300742894554	0.10829459634911	-0.0132331260218634	0.250665224123983	0.307477399346179	1	0.157609345357409	0.037869341629097	0.570423005983661	0.376905711410695
SCN	-0.0942250601424224	0.421932073897058	-0.127891911694901	-0.0371129909203168	-0.346014213169228	0.484855851386121	0.230296526832183	0.186979667543999	0.0911159654656078	0.0265512991044733	0.0106088001332418	0.538430455322726	-0.274061510073871	0.00654167373714573	0.61859710134107	0.00821094320658979	0.178364148572656	0.157609345357409	1	-0.295136063400932	-0.0359990137628371	0.477919109271371
TU	0.103168029180485	-0.135596656556859	-0.214846204879774	-0.238907491102668	0.823327252070352	-0.293727860493887	-0.0723193435672323	0.32659359167394	-0.251700934789277	0.0883621793075236	0.388140827206294	0.321967804112587	-0.0204476865082339	0.180175649342683	0.123239182217552	-0.305214288221679	-0.13552408169398	0.037869341629097	-0.295136063400932	1	-0.19815181461247	-0.293976578385549
VMH	0.196493118920144	-0.447017740310123	0.305535915147688	0.792695332773108	-0.0890358981192777	0.0134565837095302	0.177381970184456	0.0985778416750207	0.283846615551487	0.1735823779072	-0.0182163214743881	0.113369790940112	0.268945137039847	-0.0347306558278874	-0.584012259394135	0.350632546785449	0.315741008315221	0.570423005983661	-0.0359990137628371	-0.19815181461247	1	0.0799487050392119
MPO	-0.21879443570244	0.21993346009627	0.380959070746324	0.169875742753859	-0.217546981342837	0.600849582114984	0.0957912543315581	-0.202750218767408	0.280988893465069	0.0434685758832424	-0.376631733880307	0.346734926718747	0.15215444499999	-0.0183406478236663	0.0425069080357535	-0.475239495500202	0.0667896527178135	0.376905711410695	0.477919109271371	-0.293976578385549	0.0799487050392119	1
